"","Date","max","min","mean","sd"
"S2018-06-28.1",2018-06-28,0.900329101910464,0.0388740035410233,0.597024193802135,0.194522310225463
"L2018-07-03",2018-07-03,0.914194063140548,0.11554526495717,0.596053535380432,0.201918276493026
"L2018-07-03.1",2018-07-03,0.898372065145343,0.167417851379736,0.59881318476098,0.189193450139454
"S2018-07-03",2018-07-03,0.898116257326404,0.140218414176532,0.599849801281303,0.192895618273436
"S2018-07-03.1",2018-07-03,0.906903528450588,0.0864978916218165,0.59364164789804,0.206223265551185
"L2018-07-10",2018-07-10,0.905261133980923,0.174326609724288,0.610141579007414,0.189152734651663
"S2018-07-11",2018-07-11,0.90236558989583,0.166181620664877,0.616697709118509,0.186407094290325
"S2018-07-11.1",2018-07-11,0.91198501976355,0.0947429332362993,0.612877328436215,0.199636453592995
"S2018-07-13",2018-07-13,0.898675675156994,0.144158050655818,0.603060147711124,0.190234491056448
"S2018-07-13.1",2018-07-13,0.907419709987586,0.0892784290227244,0.598265637165817,0.204453545125111
"S2018-07-14",2018-07-14,0.890744444325103,0.168072176853366,0.613949428588449,0.179378309266024
"S2018-07-16",2018-07-16,0.912677746544181,0.092940135316262,0.606888924954827,0.2041625542947
"S2018-07-18",2018-07-18,0.889425427510264,0.207425718779293,0.620553822580828,0.174617371196489
"S2018-07-18.1",2018-07-18,0.906686112976343,0.123234898634325,0.62131771259125,0.189536456678861
"L2018-07-19",2018-07-19,0.901925207508807,0.191864771542178,0.616899824610013,0.184357537349565
"L2018-07-19.1",2018-07-19,0.912249353529545,0.156441712463358,0.613550636479617,0.196502060577127
"S2018-07-19",2018-07-19,0.911573719148938,0.191269290422113,0.626692732969583,0.193592966828244
"S2018-07-19.1",2018-07-19,0.913004483645709,0.123902450749119,0.616769233519959,0.205602353203712
"S2018-07-21",2018-07-21,0.89698046066582,0.00180469289474258,0.494859359968593,0.270730134097772
"L2018-07-26",2018-07-26,0.99304063281325,0.00404162621398582,0.300466118003626,0.280897700856021
"S2018-07-26",2018-07-26,0.892268857896964,0.205170484623916,0.609490306474166,0.175830900001691
"S2018-07-28",2018-07-28,0.921817522857691,0.096335237036793,0.549078725212972,0.208788459803007
"S2018-07-29",2018-07-29,0.907294324933504,0.196599792467271,0.62088134340471,0.190931942534307
"S2018-07-29.1",2018-07-29,0.913256956115748,0.12675117848654,0.613612077341069,0.203216513736647
"S2018-07-31",2018-07-31,0.86383023664529,0.21223498105221,0.595103048221979,0.164513220691572
"S2018-07-31.1",2018-07-31,0.878732617650161,0.139316823186246,0.594319813801644,0.177014049422448
"S2018-08-10",2018-08-10,0.854235338715874,0.160471311809504,0.590045957103785,0.159176436994709
"S2018-08-13",2018-08-13,0.881286633533364,0.0944493738486619,0.588860830702416,0.167294770544135
"S2018-08-13.1",2018-08-13,0.882008369713883,0.011463293531424,0.583735411932637,0.178122432149116
"L2018-08-20",2018-08-20,0.864344081228717,0.0665563731155819,0.616966861003538,0.181805312794224
"S2018-08-20",2018-08-20,0.885938064635369,0.0671578611218984,0.626924675510545,0.18510118563521
"S2018-08-22",2018-08-22,0.894134586521642,0.138103310309197,0.611139683723638,0.189591390564415
"S2018-08-30",2018-08-30,0.856817946790366,0.174978359293195,0.612561314008059,0.165472075279754
"S2018-09-02",2018-09-02,0.867587118965825,0.170586203543342,0.624602942546338,0.167732404370296
"S2018-09-04",2018-09-04,0.886271636741517,0.155237049625835,0.62508292938965,0.184500949002644
"S2018-09-09",2018-09-09,0.873891147534886,0.160316226861329,0.622540412255281,0.173035408865893
"S2018-09-09.1",2018-09-09,0.88465204677807,0.130481849244545,0.620473825600266,0.185492771204059
"S2018-09-19",2018-09-19,0.86260687763782,0.132955460624189,0.641912639018187,0.166576081459082
"S2018-09-29",2018-09-29,0.846932597163277,0.142476150488076,0.648869079394356,0.168514886405068
"S2019-06-03",2019-06-03,0.819443400990162,0.031853949978055,0.56637732080719,0.17153474654162
"S2019-06-16",2019-06-16,0.878877401812645,0.0666036505451752,0.588692791833072,0.188059639431324
"S2019-06-16.1",2019-06-16,0.862115902261971,0.176769452805491,0.591645551382757,0.175797560239925
"S2019-06-19",2019-06-19,0.89269290182455,0.0658622337072958,0.616433762179933,0.190021214647232
"S2019-06-19.1",2019-06-19,0.885975696295262,0.177854912477497,0.624853475996308,0.179361673510614
"S2019-06-29",2019-06-29,0.772176509852739,0.203585052130343,0.544714718343865,0.136089290851517
"S2019-07-01",2019-07-01,0.888125511655717,0.177273157960594,0.618982293406739,0.18179008183867
"S2019-07-03",2019-07-03,0.893483340308683,0.182420143201623,0.631979736304726,0.177281786293564
"S2019-07-09",2019-07-09,0.349062168685811,0.0248999736948384,0.0705261629254268,0.0425519615331575
"L2019-07-13",2019-07-13,0.872946354011748,0.185620424360821,0.557888067103963,0.175413681742495
"S2019-07-13",2019-07-13,0.864724064695983,0.177107475151141,0.618744349351552,0.168806846570377
